"","Sepal.Length","Sepal.Width","Petal.Length","Petal.Width","Species"
"1",4.9,3,1.4,0.2,"setosa"
"2",4.7,3.2,1.3,0.2,"setosa"
"3",4.6,3.1,1.5,0.2,"setosa"
"4",5,3.6,1.4,0.2,"setosa"
"5",5.4,3.9,1.7,0.4,"setosa"
"6",4.6,3.4,1.4,0.3,"setosa"
"7",5,3.4,1.5,0.2,"setosa"
"8",4.4,2.9,1.4,0.2,"setosa"
"9",5.4,3.7,1.5,0.2,"setosa"
"10",4.8,3.4,1.6,0.2,"setosa"
"11",5.8,4,1.2,0.2,"setosa"
"12",5.7,4.4,1.5,0.4,"setosa"
"13",5.4,3.9,1.3,0.4,"setosa"
"14",5.1,3.5,1.4,0.3,"setosa"
"15",5.7,3.8,1.7,0.3,"setosa"
"16",5.1,3.8,1.5,0.3,"setosa"
"17",5.4,3.4,1.7,0.2,"setosa"
"18",5.1,3.7,1.5,0.4,"setosa"
"19",4.6,3.6,1,0.2,"setosa"
"20",5.1,3.3,1.7,0.5,"setosa"
"21",4.8,3.4,1.9,0.2,"setosa"
"22",5,3,1.6,0.2,"setosa"
"23",5,3.4,1.6,0.4,"setosa"
"24",5.2,3.4,1.4,0.2,"setosa"
"25",4.7,3.2,1.6,0.2,"setosa"
"26",4.8,3.1,1.6,0.2,"setosa"
"27",5.4,3.4,1.5,0.4,"setosa"
"28",5.5,4.2,1.4,0.2,"setosa"
"29",5,3.2,1.2,0.2,"setosa"
"30",5.5,3.5,1.3,0.2,"setosa"
"31",4.9,3.1,1.5,0.1,"setosa"
"32",4.4,3,1.3,0.2,"setosa"
"33",5.1,3.4,1.5,0.2,"setosa"
"34",5,3.5,1.3,0.3,"setosa"
"35",4.5,2.3,1.3,0.3,"setosa"
"36",4.4,3.2,1.3,0.2,"setosa"
"37",5,3.5,1.6,0.6,"setosa"
"38",5.1,3.8,1.9,0.4,"setosa"
"39",4.8,3,1.4,0.3,"setosa"
"40",5.1,3.8,1.6,0.2,"setosa"
"41",6.4,3.2,4.5,1.5,"versicolor"
"42",6.9,3.1,4.9,1.5,"versicolor"
"43",5.5,2.3,4,1.3,"versicolor"
"44",5.7,2.8,4.5,1.3,"versicolor"
"45",6.3,3.3,4.7,1.6,"versicolor"
"46",4.9,2.4,3.3,1,"versicolor"
"47",6.6,2.9,4.6,1.3,"versicolor"
"48",5.2,2.7,3.9,1.4,"versicolor"
"49",5,2,3.5,1,"versicolor"
"50",6,2.2,4,1,"versicolor"
"51",6.1,2.9,4.7,1.4,"versicolor"
"52",5.6,2.9,3.6,1.3,"versicolor"
"53",6.7,3.1,4.4,1.4,"versicolor"
"54",5.6,3,4.5,1.5,"versicolor"
"55",5.8,2.7,4.1,1,"versicolor"
"56",5.6,2.5,3.9,1.1,"versicolor"
"57",5.9,3.2,4.8,1.8,"versicolor"
"58",6.1,2.8,4,1.3,"versicolor"
"59",6.1,2.8,4.7,1.2,"versicolor"
"60",6.4,2.9,4.3,1.3,"versicolor"
"61",6.6,3,4.4,1.4,"versicolor"
"62",6.8,2.8,4.8,1.4,"versicolor"
"63",6.7,3,5,1.7,"versicolor"
"64",6,2.9,4.5,1.5,"versicolor"
"65",5.5,2.4,3.8,1.1,"versicolor"
"66",5.5,2.4,3.7,1,"versicolor"
"67",6,2.7,5.1,1.6,"versicolor"
"68",6.7,3.1,4.7,1.5,"versicolor"
"69",5.6,3,4.1,1.3,"versicolor"
"70",5.5,2.5,4,1.3,"versicolor"
"71",5.5,2.6,4.4,1.2,"versicolor"
"72",6.1,3,4.6,1.4,"versicolor"
"73",5.8,2.6,4,1.2,"versicolor"
"74",5,2.3,3.3,1,"versicolor"
"75",5.6,2.7,4.2,1.3,"versicolor"
"76",5.7,3,4.2,1.2,"versicolor"
"77",5.7,2.9,4.2,1.3,"versicolor"
"78",6.2,2.9,4.3,1.3,"versicolor"
"79",5.1,2.5,3,1.1,"versicolor"
"80",5.7,2.8,4.1,1.3,"versicolor"
"81",6.3,3.3,6,2.5,"virginica"
"82",5.8,2.7,5.1,1.9,"virginica"
"83",7.1,3,5.9,2.1,"virginica"
"84",6.3,2.9,5.6,1.8,"virginica"
"85",7.6,3,6.6,2.1,"virginica"
"86",4.9,2.5,4.5,1.7,"virginica"
"87",7.3,2.9,6.3,1.8,"virginica"
"88",6.7,2.5,5.8,1.8,"virginica"
"89",6.5,3.2,5.1,2,"virginica"
"90",6.4,2.7,5.3,1.9,"virginica"
"91",6.8,3,5.5,2.1,"virginica"
"92",5.7,2.5,5,2,"virginica"
"93",5.8,2.8,5.1,2.4,"virginica"
"94",6.4,3.2,5.3,2.3,"virginica"
"95",7.7,2.6,6.9,2.3,"virginica"
"96",6,2.2,5,1.5,"virginica"
"97",6.9,3.2,5.7,2.3,"virginica"
"98",5.6,2.8,4.9,2,"virginica"
"99",7.7,2.8,6.7,2,"virginica"
"100",6.3,2.7,4.9,1.8,"virginica"
"101",7.2,3.2,6,1.8,"virginica"
"102",6.2,2.8,4.8,1.8,"virginica"
"103",6.4,2.8,5.6,2.1,"virginica"
"104",7.4,2.8,6.1,1.9,"virginica"
"105",7.9,3.8,6.4,2,"virginica"
"106",6.4,2.8,5.6,2.2,"virginica"
"107",6.3,2.8,5.1,1.5,"virginica"
"108",7.7,3,6.1,2.3,"virginica"
"109",6.3,3.4,5.6,2.4,"virginica"
"110",6,3,4.8,1.8,"virginica"
"111",6.9,3.1,5.4,2.1,"virginica"
"112",6.9,3.1,5.1,2.3,"virginica"
"113",5.8,2.7,5.1,1.9,"virginica"
"114",6.8,3.2,5.9,2.3,"virginica"
"115",6.7,3.3,5.7,2.5,"virginica"
"116",6.7,3,5.2,2.3,"virginica"
"117",6.3,2.5,5,1.9,"virginica"
"118",6.5,3,5.2,2,"virginica"
"119",6.2,3.4,5.4,2.3,"virginica"
"120",5.9,3,5.1,1.8,"virginica"
